Player,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Home_Away,Bowling_Arm,Pace_Spin
Danish Kaneria (PAK),87.4,16,213,5,2.42,42.6,105.2,v South Africa,Lahore,8 Oct 2007,1,1,0
NM Lyon (AUS),60,9,215,5,3.58,43,72,v Pakistan,Sydney,3 Jan 2017,1,1,0
SK Warne (AUS),85,21,216,5,2.54,43.2,102,v England,Adelaide,1 Dec 2006,1,1,0
A Kumble (INDIA),62,8,221,5,3.56,44.2,74.4,v Australia,Bengaluru,6 Oct 2004,1,1,0
SCG MacGill (AUS),85,16,226,5,2.65,45.2,102,v England,Sydney,2 Jan 2003,1,1,0
D Bishoo (WI),70.5,16,229,5,3.23,45.8,85,v Pakistan,Basseterre,20 May 2011,1,1,0
S Shillingford (WI),82,9,273,5,3.32,54.6,98.4,v South Africa,Basseterre,18 Jun 2010,1,1,0
MM Ali (ENG),13,3,39,4,3,9.75,19.5,v India,Manchester,7 Aug 2014,1,1,0
KS Williamson (NZ),20,8,44,4,2.2,11,30,v England,Auckland,22 Mar 2013,1,1,0
MM Ali (ENG),16.1,5,45,4,2.78,11.25,24.2,v South Africa,The Oval,27 Jul 2017,1,1,0
MDK Perera (SL),31.2,7,65,4,2.07,16.25,47,v West Indies,Colombo (PSS),22 Oct 2015,1,1,0
CH Gayle (WI),48.5,21,66,4,1.35,16.5,73.2,v South Africa,Port of Spain,8 Apr 2005,1,1,0
